PlayerID,Name,Team,Position,Age,Played,Started,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,FantasyPoints
16775,DeVante Parker,NE,WR,29.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,539.0,17.4,3.0,71.9
16855,Ty Montgomery II,NE,WR,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,4.0,3.0,15.0,5.0,1.0,7.3
16906,Stefon Diggs,BUF,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,154.0,108.0,1429.0,13.2,11.0,208.6
17923,Ezekiel Elliott,NE,RB,27.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,231.0,876.0,3.8,12.0,23.0,17.0,92.0,5.4,0.0,168.8
17975,Hunter Henry,NE,TE,27.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,41.0,509.0,12.4,2.0,62.9
18883,JuJu Smith-Schuster,NE,WR,25.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,78.0,933.0,12.0,3.0,107.3
19318,Kendrick Bourne,NE,WR,27.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,39.0,6.5,0.0,48.0,35.0,434.0,12.4,1.0,53.3
19304,Pharaoh Brown,NE,TE,28.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,117.0,9.8,0.0,11.7
19801,Josh Allen,BUF,QB,26.0,16.0,16.0,359.0,567.0,4283.0,35.0,14.0,124.0,762.0,6.1,7.0,0.0,0.0,0.0,0.0,0.0,395.52
19853,Mike Gesicki,NE,TE,27.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,32.0,362.0,11.3,5.0,66.2
19912,Nyheim Hines,BUF,RB,25.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,1.4,1.0,37.0,30.0,241.0,8.0,1.0,39.4
20053,Kyle Allen,BUF,QB,26.0,2.0,2.0,46.0,78.0,416.0,2.0,4.0,6.0,13.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,15.94
20081,Trent Sherfield,BUF,WR,26.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,30.0,417.0,13.9,2.0,53.7
20837,Ty Johnson,BUF,RB,25.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,160.0,5.3,1.0,24.0,12.0,88.0,7.3,0.0,30.8
20850,Dawson Knox,BUF,TE,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,48.0,517.0,10.8,6.0,87.7
20820,Andy Isabella,BUF,WR,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,21.0,10.5,0.0,2.2
20779,Will Grier,NE,QB,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20790,Damien Harris,BUF,RB,25.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,106.0,462.0,4.4,3.0,23.0,17.0,97.0,5.7,0.0,73.9
